City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Sardarpur,IN,2022-08-05 01:31:45,22.678,74.9484,25.44,85,100,0.31
251,Rajura,IN,2022-08-05 01:31:45,19.7833,79.3667,26.41,85,99,1.38
252,Caravelas,BR,2022-08-05 01:31:46,-17.7125,-39.2481,20.47,85,51,2.58
253,Kalmunai,LK,2022-08-05 01:31:46,7.4167,81.8167,26.87,70,100,2.91
254,Laguna,US,2022-08-05 01:31:46,38.421,-121.4238,37.44,31,0,8.23
255,Belle Fourche,US,2022-08-05 01:31:47,44.6714,-103.8522,35.83,21,11,3.02
256,Sao Gabriel Da Cachoeira,BR,2022-08-05 01:31:47,-0.1303,-67.0892,22.93,98,94,0.56
257,Kavaratti,IN,2022-08-05 01:31:47,10.5669,72.642,26.41,84,100,12.21
258,San Blas,MX,2022-08-05 01:31:48,21.5167,-105.2667,28.52,80,59,1.39
259,Kuusamo,FI,2022-08-05 01:31:48,65.9667,29.1833,13.02,100,100,1.54
260,Sessa Aurunca,IT,2022-08-05 01:31:48,41.2408,13.9328,26.12,70,3,1.65
261,Lambakin,PH,2022-08-05 01:31:49,14.75,120.8667,26.05,91,100,2.05
262,Wanaka,NZ,2022-08-05 01:31:49,-44.7,169.15,9.51,86,100,6.83
263,Ust-Ishim,RU,2022-08-05 01:31:49,57.6935,71.1665,18.17,64,19,1.43
264,Sitka,US,2022-08-05 01:31:50,57.0531,-135.33,15.94,77,100,2.06
265,Sala,MA,2022-08-05 01:31:50,34.0389,-6.8166,22.38,88,75,1.54
266,Pouebo,NC,2022-08-05 01:31:50,-20.4,164.5667,25.96,72,41,4.19
267,Tessalit,ML,2022-08-05 01:31:51,20.1986,1.0114,33.17,22,0,6.16
268,Orocue,CO,2022-08-05 01:31:51,4.7912,-71.3354,23.5,88,8,1.96
269,Touros,BR,2022-08-05 01:31:51,-5.1989,-35.4608,23.18,89,5,4.69
270,Alice Springs,AU,2022-08-05 01:28:44,-23.7,133.8833,17.75,24,0,4.63
271,Tchamba,TG,2022-08-05 01:32:52,9.0333,1.4167,20.49,98,91,1.82
272,Banting,MY,2022-08-05 01:32:52,2.8167,101.5,28.09,76,98,0.44
273,Zeerust,ZA,2022-08-05 01:32:53,-25.5369,26.0751,10.06,51,0,2.11
274,Garden City,US,2022-08-05 01:32:53,42.3256,-83.331,26.01,88,100,2.57
275,Hualmay,PE,2022-08-05 01:32:53,-11.0964,-77.6139,16.45,83,89,3.44
276,Mpika,ZM,2022-08-05 01:32:54,-11.8343,31.4529,10.14,84,0,1.63
277,Mangai,CD,2022-08-05 01:32:54,-4.05,19.5333,24.91,60,62,0.74
278,Paamiut,GL,2022-08-05 01:32:54,61.994,-49.6678,7.68,86,100,8.56
279,Norman Wells,CA,2022-08-05 01:31:11,65.282,-126.8329,24.02,35,20,2.06
280,Hastings,GB,2022-08-05 01:28:15,50.8552,0.5729,18.21,70,75,6.44
281,Ayan,RU,2022-08-05 01:32:55,56.45,138.1667,13.34,98,100,5.55
282,Nishihara,JP,2022-08-05 01:32:55,26.1842,127.7558,30.6,79,20,2.57
283,Batticaloa,LK,2022-08-05 01:32:55,7.7102,81.6924,28.14,64,100,5.94
284,Buanoy,PH,2022-08-05 01:32:56,10.4675,123.6999,26.96,74,86,1.19
285,Ghanzi,BW,2022-08-05 01:32:56,-21.5667,21.7833,11.58,34,0,3.05
286,Mozarlandia,BR,2022-08-05 01:32:56,-14.7447,-50.5706,24.61,31,1,1.75
287,Castro,BR,2022-08-05 01:32:57,-24.7911,-50.0119,19.56,49,99,3.05
288,Alexandria,EG,2022-08-05 01:32:57,31.2156,29.9553,25.78,72,0,5.51
289,Gornopravdinsk,RU,2022-08-05 01:32:57,60.05,69.9,18.5,62,7,2.26
290,Georgetown,MY,2022-08-05 01:29:13,5.4112,100.3354,28.96,83,20,2.06
